threat_id,stride_category,asset,boundary,ctrl_primary,ctrl_secondary,evidence_type,owner,last_review
THR-S-001,Spoofing,AST-TOKEN,TB-1,CTRL-AUTH-001,CTRL-AUTH-004,EVT-002,Security Lead,2026-04-24
THR-S-002,Spoofing,AST-TOKEN,TB-1,CTRL-AUTH-007,,EVT-002,Security Lead,2026-04-24
THR-S-003,Spoofing,AST-BLOB,TB-0,CTRL-NET-001,CTRL-NET-002,EVT-037,Security Lead,2026-04-24
THR-S-004,Spoofing,AST-BLOB,TB-1,CTRL-NET-003,,EVT-028,Security Lead,2026-04-24
THR-S-005,Spoofing,AST-CONFIG,TB-5,CTRL-AUTH-010,,EVT-025,Security Lead,2026-04-24
THR-T-001,Tampering,AST-BLOB,TB-2,CTRL-CAS-001,CTRL-CAS-002,EVT-002,Security Lead,2026-04-24
THR-T-002,Tampering,AST-AC,TB-2,CTRL-AC-001,CTRL-AC-002,EVT-002,Security Lead,2026-04-24
THR-T-003,Tampering,AST-META,TB-2,CTRL-META-001,CTRL-GC-001,EVT-002,SRE Lead,2026-04-24
THR-T-004,Tampering,AST-AUDIT,TB-5,CTRL-AUDIT-001,,EVT-001,Security Lead,2026-04-24
THR-T-005,Tampering,AST-BILLING,TB-2,CTRL-BILLING-001,,EVT-002,Finance + SRE,2026-04-24
THR-T-006,Tampering,AST-CODE,TB-1,CTRL-SUPPLY-001,CTRL-SUPPLY-002,EVT-011,Security Lead,2026-04-24
THR-T-007,Tampering,AST-TLA-MODEL,TB-1,CTRL-FORMAL-001,,EVT-022,Architect,2026-04-24
THR-R-001,Repudiation,AST-BLOB,TB-3,CTRL-AUDIT-002,,EVT-026,Security Lead,2026-04-24
THR-R-002,Repudiation,AST-CONFIG,TB-5,CTRL-AUDIT-003,,EVT-025,Security Lead,2026-04-24
THR-R-003,Repudiation,AST-BILLING,TB-1,CTRL-AUDIT-004,,EVT-013,Finance,2026-04-24
THR-I-001,InfoDisclosure,AST-BLOB,TB-3,CTRL-ISO-001,CTRL-ISO-002,EVT-022,Security Lead + Architect,2026-04-24
THR-I-002,InfoDisclosure,AST-BLOB,TB-3,CTRL-ISO-004,,EVT-025,Security Lead,2026-04-24
THR-I-003,InfoDisclosure,AST-AUDIT,TB-2,CTRL-PRIV-001,,EVT-005,Privacy Officer,2026-04-24
THR-I-004,InfoDisclosure,AST-BLOB,TB-3,CTRL-ISO-005,,EVT-029,Security Lead,2026-04-24
THR-I-005,InfoDisclosure,AST-CONFIG,TB-1,CTRL-NET-004,,EVT-002,Security Lead,2026-04-24
THR-I-006,InfoDisclosure,AST-TOKEN,TB-2,CTRL-CRED-001,,EVT-005,Security Lead,2026-04-24
THR-I-007,InfoDisclosure,AST-BLOB,TB-4,CTRL-NET-005,,EVT-028,Security Lead,2026-04-24
THR-D-001,DoS,AST-BLOB,TB-2,CTRL-RATE-001,,EVT-024,SRE Lead,2026-04-24
THR-D-002,DoS,AST-BLOB,TB-2,CTRL-QUOTA-001,,EVT-002,SRE Lead,2026-04-24
THR-D-003,DoS,AST-CODE,TB-4,CTRL-EXEC-001,,EVT-002,SRE Lead,2026-04-24
THR-D-004,DoS,AST-BLOB,TB-2,CTRL-COMP-001,,EVT-002,Security Lead,2026-04-24
THR-D-005,DoS,AST-BLOB,TB-2,CTRL-BACKOFF-001,,EVT-002,SRE Lead,2026-04-24
THR-E-001,EoP,AST-BLOB,TB-1,CTRL-AUTHZ-001,,EVT-002,Security Lead,2026-04-24
THR-E-002,EoP,AST-CODE,TB-4,CTRL-EXEC-002,CTRL-EXEC-003,EVT-017,Security Lead,2026-04-24
THR-E-003,EoP,AST-BLOB,TB-3,CTRL-INPUT-001,,EVT-002,Security Lead,2026-04-24
THR-E-004,EoP,AST-META,TB-2,CTRL-INPUT-002,,EVT-005,Security Lead,2026-04-24
THR-E-005,EoP,AST-CODE,TB-1,CTRL-INPUT-003,,EVT-002,Security Lead,2026-04-24
THR-E-006,EoP,AST-BLOB,TB-3,CTRL-AUTHZ-002,,EVT-022,Architect,2026-04-24
