path	verdict	reason
.github/workflows/ac-bucket-acl-cron.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/actionlint.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/admin-ui-ci.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/admin-ui-deploy.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/api-reference-sync.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/billing-aggregate-runner.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/billing-reconcile-daily.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/cargo-audit.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/cargo-cache-latency-probe.yml	ARQUIVAR	the ONE genuinely-new workflow of the four added (113 lines, absent from origin/main). The blanket workflow reason — 'already exists on main, so merging three-way-reverts later CI work' — is exactly the argument that does NOT apply here.
.github/workflows/cargo-deny.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/cas_foundation.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/cf-deploy-prod.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/compliance-weekly.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/container-build-push-prod.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/corelink-adapter-host.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/corelink-client-verify.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/corelink-hash.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/corelink-meta.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/corelink-reapi.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/corelink-server.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/corelink-worker.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/cosign-sign.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/coverage.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/d1-migration-validate.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/dependabot-auto-merge.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/docs-ci.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/docs-deploy.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/docs-vale.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/dpa-legal-review.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/gc-sweep-dry-run.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/legal-changes-review.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/lockfile-diff.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/mutation-pr.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/okf_nightly.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/okf_wiki.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/openapi-validate.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/pentest-findings-sync.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/perf-nightly.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/perf-regression.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/pr-labels.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/region_pinning.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/release-notes.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
.github/workflows/reproducible-build.yml	DESCARTAR	one of 54 workflow files swept in by git add -A from a base 4 weeks stale (+2208/-233); 3 of the 4 'added' ones already exist on main, so merging three-way-reverts later CI work
